date,value
1993-12-31,-0.2943
1994-01-07,-0.3696
1994-01-14,-0.1153
1994-01-21,-0.3469
1994-01-28,-0.2171
1994-02-04,-0.5172
1994-02-11,-0.3075
1994-02-18,-0.2995
1994-02-25,-0.2646
1994-03-04,-0.1999
1994-03-11,-0.2242
1994-03-18,-0.1456
1994-03-25,-0.228
1994-04-01,-0.1003
1994-04-08,-0.0805
1994-04-15,-0.0257
1994-04-22,-0.168
1994-04-29,-0.0907
1994-05-06,-0.3738
1994-05-13,-0.1436
1994-05-20,-0.061
1994-05-27,-0.1902
1994-06-03,-0.0499
1994-06-10,0.0327
1994-06-17,-0.1889
1994-06-24,-0.0901
1994-07-01,-0.1495
1994-07-08,0.0
1994-07-15,-0.0983
1994-07-22,-0.0767
1994-07-29,-0.213
1994-08-05,-0.1322
1994-08-12,-0.3044
1994-08-19,-0.3441
1994-08-26,-0.3154
1994-09-02,-0.2022
1994-09-09,-0.2891
1994-09-16,-0.2863
1994-09-23,-0.3289
1994-09-30,-0.2099
1994-10-07,-0.2259
1994-10-14,-0.0059
1994-10-21,-0.1632
1994-10-28,-0.2054
1994-11-04,-0.1688
1994-11-11,-0.2429
1994-11-18,-0.4045
1994-11-25,-0.1943
1994-12-02,-0.1962
1994-12-09,-0.191
1994-12-16,-0.2159
1994-12-23,-0.1607
1994-12-30,-0.0286
1995-01-06,-0.2707
1995-01-13,-0.0307
1995-01-20,-0.357
1995-01-27,-0.3431
1995-02-03,-0.3631
1995-02-10,-0.4435
1995-02-17,-0.2127
1995-02-24,-0.2479
1995-03-03,-0.1954
1995-03-10,-0.1139
1995-03-17,-0.2304
1995-03-24,-0.3538
1995-03-31,-0.4546
1995-04-07,-0.3196
1995-04-14,-0.2799
1995-04-21,-0.238
1995-04-28,-0.4285
1995-05-05,-0.2899
1995-05-12,-0.1745
1995-05-19,-0.3633
1995-05-26,-0.3255
1995-06-02,-0.0868
1995-06-09,-0.2039
1995-06-16,-0.1603
1995-06-23,-0.1594
1995-06-30,-0.2669
1995-07-07,-0.2568
1995-07-14,-0.1313
1995-07-21,-0.4268
1995-07-28,-0.2801
1995-08-04,-0.2395
1995-08-11,-0.2607
1995-08-18,-0.3691
1995-08-25,-0.2198
1995-09-01,-0.1534
1995-09-08,-0.2432
1995-09-15,-0.3375
1995-09-22,-0.2844
1995-09-29,-0.4023
1995-10-06,-0.0687
1995-10-13,-0.2229
1995-10-20,-0.1962
1995-10-27,-0.1375
1995-11-03,-0.2003
1995-11-10,-0.3224
1995-11-17,-0.3273
1995-11-24,-0.4608
1995-12-01,-0.3118
1995-12-08,-0.3883
1995-12-15,-0.4087
1995-12-22,-0.2961
1995-12-29,-0.0643
1996-01-05,-0.4519
1996-01-12,-0.1956
1996-01-19,-0.2174
1996-01-26,-0.39
1996-02-02,-0.3652
1996-02-09,-0.2678
1996-02-16,-0.2575
1996-02-23,-0.4357
1996-03-01,-0.4029
1996-03-08,-0.0404
1996-03-15,-0.2353
1996-03-22,-0.1488
1996-03-29,-0.1063
1996-04-05,-0.1359
1996-04-12,-0.0832
1996-04-19,0.0076
1996-04-26,-0.2015
1996-05-03,-0.193
1996-05-10,-0.1151
1996-05-17,-0.1853
1996-05-24,-0.2432
1996-05-31,-0.2873
1996-06-07,-0.2279
1996-06-14,-0.1869
1996-06-21,-0.2025
1996-06-28,-0.0458
1996-07-05,-0.408
1996-07-12,0.0248
1996-07-19,0.0032
1996-07-26,-0.086
1996-08-02,-0.1962
1996-08-09,0.1055
1996-08-16,-0.2602
